,encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log
6,Keep Construct CM,True,True,328.0,Montgomery.1624,Reaper,33658,23.041,98.503,95.803,95.723,72.129,0.108,0.0,0.0,0.0,0.0,220698,191.76385498046875,1,0.0,0,76.27291242362526,"https://dps.report/abqX-20231203-180219_kc
"
7,Keep Construct CM,True,True,328.0,DARKstrider.9245,Scourge,14999,21.271,98.555,82.433,97.933,83.269,9.849,0.0,0.0,70.477,55.309,192106,206.69163513183594,1,0.0,110,68.98608349900596,"https://dps.report/abqX-20231203-180219_kc
"
9,Keep Construct CM,True,True,328.0,ups.9017,Scrapper,40504,22.998,99.527,96.334,99.636,83.541,0.163,23.89,0.0,0.0,0.174,311234,151.68760681152344,1,0.0,3,88.81987577639751,"https://dps.report/abqX-20231203-180219_kc
"
4,Deimos,False,True,216.0,Nopiki.8352,Virtuoso,29301,22.46,99.436,95.941,64.562,62.16,0.0,14.033,0.0,0.0,0.0,153453,220.0933837890625,0,0.0,2,100.0,"https://dps.report/cLIH-20231203-174806_dei
"
5,Deimos,False,True,216.0,DARKstrider.9245,Scourge,4536,13.718,33.619,12.439,80.171,20.885,3.261,0.0,0.0,42.632,44.723,183074,542.4156494140625,0,0.0,1,100.0,"https://dps.report/cLIH-20231203-174806_dei
"
0,Samarog,False,True,279.0,Expertus.5746,Herald,16330,24.248,99.677,99.851,98.976,73.878,10.39,40.945,95.702,10.027,42.129,100214,113.71347045898438,0,0.0,0,99.25280199252802,"https://dps.report/3r2M-20231203-174053_sam
"
1,Samarog,False,True,279.0,Sashyca.8172,Scourge,4227,24.142,99.677,99.85,99.665,81.908,6.556,0.0,0.0,76.725,19.581,103328,141.3017120361328,0,0.0,12,97.06572769953051,"https://dps.report/3r2M-20231203-174053_sam
"
2,Samarog,False,True,279.0,MrCamonkill.6419,Scourge,14447,24.471,99.102,99.851,98.718,72.0,4.277,0.0,0.0,0.0,0.0,117312,152.16290283203125,0,0.0,0,97.44525547445255,"https://dps.report/3r2M-20231203-174053_sam
"
3,Samarog,False,True,279.0,I Know You Want Me.4627,Daredevil,16641,23.853,99.677,99.85,99.247,69.146,0.0,17.769,0.0,0.0,0.0,92775,170.60752868652344,0,0.0,1,95.15418502202643,"https://dps.report/3r2M-20231203-174053_sam
"
4,Samarog,False,True,279.0,Nopiki.8352,Virtuoso,18365,24.7,99.678,99.851,99.665,69.362,0.0,15.497,0.0,0.0,0.0,127206,152.22064208984375,0,0.0,0,97.3811833171678,"https://dps.report/3r2M-20231203-174053_sam
"
5,Samarog,False,True,279.0,DARKstrider.9245,Scourge,6263,23.383,99.294,76.289,99.175,91.757,12.668,0.0,0.0,71.521,83.918,106209,123.5274887084961,0,0.0,6,96.0,"https://dps.report/3r2M-20231203-174053_sam
"
6,Samarog,False,True,279.0,Montgomery.1624,Reaper,19280,24.104,99.362,99.119,99.174,88.807,0.286,0.0,0.0,0.0,0.0,85303,106.84915924072266,0,0.0,0,100.0,"https://dps.report/3r2M-20231203-174053_sam
"
7,Samarog,False,True,279.0,ups.9017,Scrapper,22777,23.567,99.362,83.832,99.207,94.321,0.0,21.396,0.0,0.0,0.0,104655,123.78929901123047,0,0.0,0,100.0,"https://dps.report/3r2M-20231203-174053_sam
"
8,Samarog,False,True,279.0,MonTheR.2460,Chronomancer,19030,23.807,99.677,74.634,99.207,88.052,0.079,23.759,0.0,0.0,0.0,141714,122.48841094970703,0,0.0,0,100.0,"https://dps.report/3r2M-20231203-174053_sam
"
9,Samarog,False,True,279.0,Derok.9834,Firebrand,6860,20.125,99.308,93.929,91.0,77.391,3.579,35.889,69.651,0.0,0.0,146515,262.09051513671875,0,134.0,0,81.64251207729468,"https://dps.report/3r2M-20231203-174053_sam
"
0,Mursaat Overseer,False,True,83.0,Expertus.5746,Herald,30097,24.565,99.591,100.036,95.891,99.59,10.184,31.98,96.628,8.611,14.843,48327,93.87352752685547,0,0.0,0,89.48863636363636,"https://dps.report/v4Ux-20231203-173526_mo
"
1,Mursaat Overseer,False,True,83.0,Sashyca.8172,Scourge,14017,24.119,99.436,99.882,97.999,99.436,6.675,0.0,0.0,76.555,8.648,40644,167.1620635986328,0,0.0,3,86.04651162790698,"https://dps.report/v4Ux-20231203-173526_mo
"
2,Mursaat Overseer,False,True,83.0,MrCamonkill.6419,Scourge,30868,24.702,99.282,99.727,99.105,95.453,5.291,0.0,0.0,0.0,0.0,48902,68.64779663085938,0,0.0,6,91.54929577464789,"https://dps.report/v4Ux-20231203-173526_mo
"
3,Mursaat Overseer,False,True,83.0,I Know You Want Me.4627,Daredevil,24686,24.532,99.283,99.727,95.583,99.282,1.25,38.342,0.0,0.0,52.747,43044,117.7578353881836,0,0.0,6,93.8566552901024,"https://dps.report/v4Ux-20231203-173526_mo
"
