encounter,is_cm,is_success,time,player,profession,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,stack_dist,downed,dead_duration,cleanses,above90%,log,role
Vale Guardian,False,True,167,hurricanelimcy.6793,Mechanist,1578,22.346,98.694,85.233,98.496,97.179,11.666,24.715,0,77.792,60.986,97418,250.385437011719,0,0,0,88.2352941176471,"https://dps.report/Y3Uy-20231127-191251_vg
",aHeal
Cardinal Adina CM,True,True,286,seb.2804,Druid,1589,24.512,99.626,84.379,96.004,97.128,14.048,42.594,0,67.95,86.901,230214,261.481903076172,0,0,10,75,"https://dps.report/guuU-20231206-202603_adina
",aHeal
Soulless Horror CM,True,True,163,faight.3264,Firebrand,1613,23.258,99.075,95.584,98.214,94.616,7.153,12.873,88.656,0,19.74,202277,192.561233520508,0,0,4,86.6995073891626,"https://dps.report/RFQL-20231122-214245_sh
",qHeal
Dhuum,False,True,376,Sashyca.8172,Scourge,1614,4.988,31.582,19.057,84.563,22.917,0,0,0,19.821,0.565,170802,954.205139160156,0,0,2,76.6949152542373,"https://dps.report/cS0L-20231122-222518_dhuum
",aHeal
Cardinal Adina CM,True,True,277,seb.2804,Druid,1626,23.745,99.649,57.428,94.668,92.096,13.358,25.197,0,74.422,79.839,110476,285.410125732422,0,0,20,98.0769230769231,"https://dps.report/zi9i-20231122-211448_adina
",aHeal
Twin Largos CM,True,True,314,Lorker Prime.5842,Scourge,1634,23.817,96.559,86.704,98.388,96.43,6.744,8.085,0,82.35,68.939,216739,1546.09729003906,0,0,84,100,"https://dps.report/GNm4-20231119-164446_twins
",aHeal
Deimos CM,True,True,362,hurricanelimcy.6793,Mechanist,1638,18.257,98.57,92.715,99.415,93.102,8.221,11.007,0,70.015,50.479,140297,397.605316162109,0,0,2,100,"https://dps.report/2C5p-20231204-204458_dei
",aHeal
Cardinal Adina CM,True,True,247,Lorker Prime.5842,Scourge,1640,22.613,97.094,96.804,96.962,91.739,6.982,15.279,0,74.697,66.867,161931,285.217529296875,0,0,9,98.125,"https://dps.report/Rjgi-20231119-162035_adina
",aHeal
Cardinal Adina CM,True,True,293,seb.2804,Druid,1642,24.221,99.669,97.309,93.641,94.363,16.261,44.855,0,73.988,77.217,168502,213.912872314453,1,0,4,84.7619047619048,"https://dps.report/nxJ2-20231115-192734_adina
",aHeal
Twin Largos CM,True,True,300,hurricanelimcy.6793,Scourge,1655,22.968,99.091,66.544,99.264,96.126,15.632,5.476,0,93.028,70.137,254438,1496.57067871094,0,0,70,98.273381294964,"https://dps.report/qqCx-20231122-224114_twins
",aHeal
Cairn CM,True,True,96,Lorker Prime.5842,Scourge,1662,22.449,97.857,63.176,94.768,41.2,1.613,0,0,62.072,73.798,53056,538.3798828125,0,0,7,42.1052631578947,"https://dps.report/b4Mw-20231119-174425_cairn
",aHeal
Slothasor,False,True,150,hurricanelimcy.6793,Mechanist,1691,23.856,99.181,98.218,98.076,95.769,8.559,18.837,0,70.594,80.556,99724,133.626251220703,0,0,40,95.7746478873239,"https://dps.report/bVww-20231127-193513_sloth
",aHeal
Gorseval the Multifarious,False,True,147,hurricanelimcy.6793,Mechanist,1702,18.397,99.039,98.494,85.47,94.91,9.15,21.122,0,78.106,73.285,57162,282.701049804687,0,0,19,97.7272727272727,"https://dps.report/takY-20231127-192238_gors
",aHeal
Dhuum,False,True,431,Sniperius.5623,Druid,1720,12.365,76.271,30.333,45.367,76.134,3.794,7.759,0,42.756,47.387,170872,648.854064941406,0,0,5,78.9915966386555,"https://dps.report/A5ru-20231206-214714_dhuum
",aHeal
Qadim CM,True,False,103,hurricanelimcy.6793,Mechanist,1725,20.842,99.93,83.83,99.929,87.264,8.893,15.987,0,68.677,26.699,62653,547.660339355469,0,43.04,7,100,"https://dps.report/MxKk-20231115-203419_qadim
",aHeal
Soulless Horror CM,True,True,169,Hea.8675,Firebrand,1746,23.627,94.787,97.965,83.136,97.308,7.105,0,79.376,0,73.808,282995,259.437866210938,0,0,7,69.7560975609756,"https://dps.report/mmaP-20231206-212038_sh
",qHeal
Keep Construct CM,True,True,333,hurricanelimcy.6793,Scourge,1756,19.445,99.175,94.612,98.895,92.233,12.703,0.222,0,80.047,74.653,106301,238.677978515625,0,0,96,93.3333333333333,"https://dps.report/QGjg-20231204-200612_kc
",aHeal
Twin Largos CM,True,True,283,seb.2804,Druid,1758,23.842,99.519,99.348,95.433,94.7,14.936,24.912,0,89.096,88.326,195610,1396.31799316406,0,0,63,95.5882352941176,"https://dps.report/t5lB-20231108-201032_twins
",aHeal
Xera,False,True,281,seb.2804,Chronomancer,1763,24.248,83.914,99.79,86.839,81.808,12.09,40.466,0,53.177,30.029,37572,521.497436523438,0,0,49,100,"https://dps.report/ZncO-20231204-201456_xera
",aHeal
Samarog CM,True,False,183,Lorker Prime.5842,Scourge,1782,23.193,98.015,92.206,98.569,97.204,5.274,8.074,0,60.415,63.535,89685,252.904235839844,0,12,5,100,"https://dps.report/UpGz-20231119-175243_sam
",aHeal
Soulless Horror CM,True,True,179,faight.3264,Firebrand,1798,24.509,99.201,98.947,90.731,85.856,6.313,26.734,83.35,0,12.541,262038,213.583801269531,0,0,4,67.3170731707317,"https://dps.report/IGuE-20231115-194911_sh
",qHeal
Matthias Gabrel,False,True,168,hurricanelimcy.6793,Mechanist,1804,24.16,98.311,98.301,98.751,98.751,10.065,27.133,0,81.242,95.015,92503,174.690185546875,0,0,54,88.5714285714286,"https://dps.report/L54l-20231106-194442_matt
",aHeal
Samarog CM,True,True,408,seb.2804,Druid,1818,23.99,98.721,82.466,98.284,99.964,17.771,24.898,0,79.876,73.802,138418,177.783615112305,0,0,5,97.0238095238095,"https://dps.report/8c2d-20231127-203224_sam
",aHeal
Qadim the Peerless CM,True,True,391,Lorker Prime.5842,Scourge,1825,19.696,93.103,97.621,91.65,73.065,1.166,0.079,0,34.096,32.395,398693,571.27294921875,1,0,114,70.1666666666667,"https://dps.report/3veb-20231119-163030_qpeer
",aHeal
Xera,False,True,306,seb.2804,Druid,1831,24.379,98.791,99.889,81.353,85.657,13.79,50.674,0,64.206,63.871,105963,493.933502197266,0,0,160,100,"https://dps.report/p6Ma-20231120-211828_xera
",aHeal
Twin Largos CM,True,True,276,seb.2804,Druid,1837,24.675,99.744,99.007,99.29,98.586,15.963,47.944,0,89.59,92.186,207734,1733.04736328125,0,0,55,86.1111111111111,"https://dps.report/ymg5-20231206-204826_twins
",aHeal
Twin Largos CM,True,True,288,seb.2804,Druid,1839,24.859,97.019,99.737,99.842,98.698,13.017,37.591,0,89.229,89.18,214314,1538.43395996094,0,0,48,87.9120879120879,"https://dps.report/2mWf-20231115-202555_twins
",aHeal
Cardinal Sabir CM,True,True,237,seb.2804,Druid,1857,24.86,99.601,99.802,98.841,99.668,14.337,35.016,0,84.117,78.595,156461,123.888343811035,0,0,9,83.4645669291339,"https://dps.report/pfZq-20231115-191206_sabir
",aHeal
Qadim CM,True,True,449,seb.2804,Druid,1857,24.348,100,86.882,76.995,95.017,10.413,37.054,0,45.248,56.897,164935,597.140014648438,3,0,97,84.7457627118644,"https://dps.report/JdGn-20231206-210134_qadim
",aHeal
Cardinal Sabir CM,True,True,277,seb.2804,Druid,1863,24.778,99.774,67.656,99.712,96.517,14.529,43.706,0,76.95,81.193,225918,153.867218017578,0,0,39,73.3333333333333,"https://dps.report/lTF3-20231206-201320_sabir
",aHeal
Gorseval the Multifarious,False,True,145,hurricanelimcy.6793,Mechanist,1868,11.469,99.255,98.591,95.247,99.062,8.294,9.068,0,71.493,81.733,54929,302.284545898438,0,0,26,98.2758620689655,"https://dps.report/r4Q4-20231204-191636_gors
",aHeal
Soulless Horror CM,True,True,163,hurricanelimcy.6793,Mechanist,1873,22.56,96.24,92.668,90.961,79.667,12.226,12.442,0,95.625,51.715,257631,250.798889160156,0,0,4,92.5,"https://dps.report/RFQL-20231122-214245_sh
",aHeal
Samarog CM,True,True,426,Lorker Prime.5842,Scourge,1881,24.859,98.745,94.756,99.896,98.508,7.007,10.346,0,73.103,84.824,146204,252.309509277344,0,0,16,99.3965517241379,"https://dps.report/jEFc-20231119-180031_sam
",aHeal
Qadim,False,True,379,Lorker Prime.5842,Scourge,1896,24.074,98.623,98.869,100,96.175,3.558,13.703,0,57.101,58.856,128964,654.35595703125,0,0,57,100,"https://dps.report/TEEl-20231119-171020_qadim
",aHeal
Twin Largos CM,True,False,112,seb.2804,Druid,1904,24.191,97.074,99.196,97.539,97.514,14.356,21.14,0,83.799,81.705,53743,294.365081787109,0,9,43,97.8260869565217,"https://dps.report/rr8R-20231108-200518_twins
",aHeal
Qadim CM,True,True,429,seb.2804,Druid,1927,24.85,100,97.675,94.701,94.735,10.532,25.589,0,48.976,58.626,139910,598.167846679688,1,0,71,95.6730769230769,"https://dps.report/wO25-20231115-204219_qadim
",aHeal
Matthias Gabrel,False,True,173,seb.2804,Druid,1933,23.828,99.349,69.391,97.475,97.618,12.793,33.529,0,72.102,60.695,99297,233.084762573242,0,0,53,78.391959798995,"https://dps.report/vo7w-20231120-204739_matt
",aHeal
Twin Largos CM,True,True,300,seb.2804,Druid,1946,24.663,99.171,98.72,98.075,98.275,14.897,29.107,0,73.622,87.256,221099,1502.18713378906,0,0,51,95.6043956043956,"https://dps.report/qqCx-20231122-224114_twins
",aHeal
Twin Largos CM,True,True,294,DARKstrider.7804,Mechanist,1951,22.355,97.99,98.993,96.733,79.253,12.907,30.195,0,81.992,57.773,241405,1544.67016601563,0,0,30,91.1764705882353,"https://dps.report/ltp2-20231112-164922_twins
",aHeal
Cardinal Sabir CM,True,True,249,seb.2804,Druid,1953,24.719,99.076,81.349,99.076,99.076,15.451,32.413,0,85.291,93.206,160907,134.158172607422,0,0,33,80.9210526315789,"https://dps.report/ldhw-20231122-210915_sabir
",aHeal
Keep Construct CM,True,True,307,seb.2804,Druid,1969,22.991,98.098,98.619,91.758,98.865,8.134,14.814,0,61.901,68.83,120719,216.73600769043,0,0,180,97.7157360406091,"https://dps.report/rSRQ-20231106-200634_kc
",aHeal
Soulless Horror CM,True,True,210,GoGo.8725,Druid,1982,23.756,48.374,76.168,98.349,98.366,2.202,0,0,27.152,37.606,126494,123.841293334961,0,0,42,97.9591836734694,"https://dps.report/a1wU-20231114-205018_sh
",aHeal
Matthias Gabrel,False,True,156,hurricanelimcy.6793,Scourge,2011,22.718,98.943,89.322,99.166,97.138,9.252,0.385,0,81.862,87.032,65456,233.791320800781,0,0,48,86.5217391304348,"https://dps.report/JOs1-20231204-194540_matt
",aHeal
Qadim CM,True,True,452,seb.2804,Druid,2012,24.072,100,97.599,91.809,99.948,10.769,26.958,0,52.996,57.272,195451,635.024719238281,0,0,134,87.5739644970414,"https://dps.report/UdAH-20231108-202158_qadim
",aHeal
Matthias Gabrel,False,True,154,Lorker Prime.5842,Scourge,2018,24.599,99.572,95.843,99.698,98.368,6.562,17.274,0,78.215,88.368,74532,195.814895629883,0,0,74,100,"https://dps.report/yfsl-20231119-184659_matt
",aHeal
Soulless Horror CM,True,True,179,hurricanelimcy.6793,Mechanist,2031,24.251,97.284,93.4,99.008,87.178,9.672,22.712,0,90.712,57.024,155615,199.156387329102,0,0,30,93.8775510204082,"https://dps.report/IGuE-20231115-194911_sh
",aHeal
